problem_id,PC1,PC2
ABC392,-0.3169603571068889,-1.464444317766177
ABC393,-0.29207326615143625,-1.5235449470973623
ABC394,-1.8499748312052335,0.12413227260769473
ABC395,0.8903873064743799,-0.2749495208515503
ABC396,1.2919014229144734,-0.5233839022482959
ABC397,0.33015407851432266,-0.31634353335534643
ABC398,-0.9472029119816784,-0.056712905260393374
ABC399,-1.6053740228459237,-0.12269868110988875
ABC400,-0.6811320740526936,-0.8127005651853033
ABC401,-0.4730615827269581,-0.26654618709099454
ABC402,-2.4904723617545055,0.2541491706039206
ABC403,-1.111174831432012,-0.3900965100763952
ABC404,0.16985059020674928,-0.19287624276542448
ABC405,1.2881033497164252,-0.768279257101216
ABC406,1.7349492441992116,-0.6004962751354646
ABC407,1.4067060161540337,0.027359358034963893
ABC408,4.830829702657575,-0.24357016896363476
ABC409,2.6793559090787067,-0.345480701170573
ABC410,-1.2386522019073882,-1.2410693702369908
ABC411,-1.5795416191489706,0.14618865882878168
ABC412,-1.3174200475713205,-0.7556052765855503
ABC413,-0.37920871360364905,-0.3842117293970721
ABC414,-1.1324285155931437,0.06594266549163996
ABC415,-0.7081346091109739,0.36928493728574757
ABC416,0.8730451212921583,2.530206353768146
ABC417,-0.3967916381019758,3.5486615433897213
ABC418,0.24290087837187777,2.8859421608395577
ABC419,0.7062312679225444,0.7489520047580869
ABC420,0.6049114418974195,-0.546775864129407
ABC421,-0.5297227451051268,0.12896682991877798
