track,problem_id,AC,WA,TLE,RE,MLE,CE,OTHER,n_attempts
CoT,ABC392,81,19,0,0,0,0,0,100
CoT,ABC393,1,99,0,0,0,0,0,100
CoT,ABC394,90,10,0,0,0,0,0,100
CoT,ABC395,100,0,0,0,0,0,0,100
CoT,ABC396,99,1,0,0,0,0,0,100
CoT,ABC397,100,0,0,0,0,0,0,100
CoT,ABC398,3,97,0,0,0,0,0,100
CoT,ABC399,100,0,0,0,0,0,0,100
CoT,ABC400,44,56,0,0,0,0,0,100
CoT,ABC401,100,0,0,0,0,0,0,100
CoT,ABC402,100,0,0,0,0,0,0,100
CoT,ABC403,17,83,0,0,0,0,0,100
CoT,ABC404,0,99,0,1,0,0,0,100
CoT,ABC405,71,29,0,0,0,0,0,100
CoT,ABC406,75,25,0,0,0,0,0,100
CoT,ABC407,30,70,0,0,0,0,0,100
CoT,ABC408,20,80,0,0,0,0,0,100
CoT,ABC409,82,18,0,0,0,0,0,100
CoT,ABC410,59,41,0,0,0,0,0,100
CoT,ABC411,100,0,0,0,0,0,0,100
CoT,ABC412,100,0,0,0,0,0,0,100
CoT,ABC413,100,0,0,0,0,0,0,100
CoT,ABC414,0,100,0,0,0,0,0,100
CoT,ABC415,100,0,0,0,0,0,0,100
CoT,ABC416,99,0,0,1,0,0,0,100
CoT,ABC417,72,28,0,0,0,0,0,100
CoT,ABC418,91,9,0,0,0,0,0,100
CoT,ABC419,100,0,0,0,0,0,0,100
CoT,ABC420,73,26,0,1,0,0,0,100
CoT,ABC421,69,0,0,31,0,0,0,100
baseline,ABC392,81,19,0,0,0,0,0,100
baseline,ABC393,1,99,0,0,0,0,0,100
baseline,ABC394,90,10,0,0,0,0,0,100
baseline,ABC395,100,0,0,0,0,0,0,100
baseline,ABC396,99,1,0,0,0,0,0,100
baseline,ABC397,100,0,0,0,0,0,0,100
baseline,ABC398,3,97,0,0,0,0,0,100
baseline,ABC399,100,0,0,0,0,0,0,100
baseline,ABC400,80,20,0,0,0,0,0,100
baseline,ABC401,100,0,0,0,0,0,0,100
baseline,ABC402,100,0,0,0,0,0,0,100
baseline,ABC403,5,95,0,0,0,0,0,100
baseline,ABC404,0,100,0,0,0,0,0,100
baseline,ABC405,83,17,0,0,0,0,0,100
baseline,ABC406,79,21,0,0,0,0,0,100
baseline,ABC407,15,84,1,0,0,0,0,100
baseline,ABC408,20,79,0,1,0,0,0,100
baseline,ABC409,54,46,0,0,0,0,0,100
baseline,ABC410,53,47,0,0,0,0,0,100
baseline,ABC411,100,0,0,0,0,0,0,100
baseline,ABC412,100,0,0,0,0,0,0,100
baseline,ABC413,100,0,0,0,0,0,0,100
baseline,ABC414,0,100,0,0,0,0,0,100
baseline,ABC415,100,0,0,0,0,0,0,100
baseline,ABC416,100,0,0,0,0,0,0,100
baseline,ABC417,76,24,0,0,0,0,0,100
baseline,ABC418,91,9,0,0,0,0,0,100
baseline,ABC419,100,0,0,0,0,0,0,100
baseline,ABC420,74,26,0,0,0,0,0,100
baseline,ABC421,50,0,0,50,0,0,0,100
feedback,ABC392,79,21,0,0,0,0,0,100
feedback,ABC393,13,86,0,1,0,0,0,100
feedback,ABC394,100,0,0,0,0,0,0,100
feedback,ABC395,100,0,0,0,0,0,0,100
feedback,ABC396,100,0,0,0,0,0,0,100
feedback,ABC397,100,0,0,0,0,0,0,100
feedback,ABC398,7,93,0,0,0,0,0,100
feedback,ABC399,100,0,0,0,0,0,0,100
feedback,ABC400,87,13,0,0,0,0,0,100
feedback,ABC401,100,0,0,0,0,0,0,100
feedback,ABC402,100,0,0,0,0,0,0,100
feedback,ABC403,46,54,0,0,0,0,0,100
feedback,ABC404,0,95,0,5,0,0,0,100
feedback,ABC405,95,5,0,0,0,0,0,100
feedback,ABC406,100,0,0,0,0,0,0,100
feedback,ABC407,76,24,0,0,0,0,0,100
feedback,ABC408,42,57,0,1,0,0,0,100
feedback,ABC409,86,14,0,0,0,0,0,100
feedback,ABC410,80,20,0,0,0,0,0,100
feedback,ABC411,100,0,0,0,0,0,0,100
feedback,ABC412,100,0,0,0,0,0,0,100
feedback,ABC413,100,0,0,0,0,0,0,100
feedback,ABC414,9,91,0,0,0,0,0,100
feedback,ABC415,100,0,0,0,0,0,0,100
feedback,ABC416,100,0,0,0,0,0,0,100
feedback,ABC417,97,3,0,0,0,0,0,100
feedback,ABC418,99,1,0,0,0,0,0,100
feedback,ABC419,100,0,0,0,0,0,0,100
feedback,ABC420,91,8,0,1,0,0,0,100
feedback,ABC421,72,0,0,28,0,0,0,100
