model,track,k,w_bin,n_in_bin,mean,ci_lo,ci_hi
Llama-3.1-8B-Instruct,CoT,1,Q1,8,0.5825,0.30124999999999996,0.83
Llama-3.1-8B-Instruct,CoT,1,Q2,7,0.6228571428571428,0.3499642857142857,0.8771428571428572
Llama-3.1-8B-Instruct,CoT,1,Q3,11,0.6772727272727272,0.47,0.8636590909090905
Llama-3.1-8B-Instruct,CoT,1,Q4,4,0.6074999999999999,0.41,0.845
Llama-3.1-8B-Instruct,CoT,10,Q1,8,0.7489052035117967,0.375,0.9989058719071264
Llama-3.1-8B-Instruct,CoT,10,Q2,7,0.8675210587646752,0.6103903450291633,0.9999030823537141
Llama-3.1-8B-Instruct,CoT,10,Q3,11,0.9001951777476598,0.7121133991059293,0.9998911575465784
Llama-3.1-8B-Instruct,CoT,10,Q4,4,0.9981784056679721,0.9963704660241284,0.9999863453118158
Llama-3.1-8B-Instruct,CoT,100,Q1,8,0.75,0.5,1.0
Llama-3.1-8B-Instruct,CoT,100,Q2,7,1.0,1.0,1.0
Llama-3.1-8B-Instruct,CoT,100,Q3,11,0.9090909090909091,0.7272727272727273,1.0
Llama-3.1-8B-Instruct,CoT,100,Q4,4,1.0,1.0,1.0
Llama-3.1-8B-Instruct,baseline,1,Q1,8,0.6925,0.43500000000000005,0.9125
Llama-3.1-8B-Instruct,baseline,1,Q2,7,0.47285714285714286,0.16571428571428573,0.7971428571428572
Llama-3.1-8B-Instruct,baseline,1,Q3,11,0.7018181818181818,0.509090909090909,0.870909090909091
Llama-3.1-8B-Instruct,baseline,1,Q4,4,0.5625,0.325,0.83
Llama-3.1-8B-Instruct,baseline,10,Q1,8,0.868106916460238,0.6181069165180647,0.9999999907276772
Llama-3.1-8B-Instruct,baseline,10,Q2,7,0.6475952866691853,0.2857142857142857,0.933319578517178
Llama-3.1-8B-Instruct,baseline,10,Q3,11,0.9046703255874449,0.7185658739340581,0.9999997247567435
Llama-3.1-8B-Instruct,baseline,10,Q4,4,0.9894670195426277,0.973073162692791,0.9999863453118158
Llama-3.1-8B-Instruct,baseline,100,Q1,8,0.875,0.625,1.0
Llama-3.1-8B-Instruct,baseline,100,Q2,7,0.7142857142857143,0.42857142857142855,1.0
Llama-3.1-8B-Instruct,baseline,100,Q3,11,0.9090909090909091,0.7272727272727273,1.0
Llama-3.1-8B-Instruct,baseline,100,Q4,4,1.0,1.0,1.0
Llama-3.1-8B-Instruct,feedback,1,Q1,8,0.8087500000000001,0.5912499999999999,0.9762500000000001
Llama-3.1-8B-Instruct,feedback,1,Q2,7,0.6642857142857143,0.3742857142857142,0.9357142857142856
Llama-3.1-8B-Instruct,feedback,1,Q3,11,0.8072727272727271,0.6136136363636364,0.9527272727272728
Llama-3.1-8B-Instruct,feedback,1,Q4,4,0.735,0.51,0.96
Llama-3.1-8B-Instruct,feedback,10,Q1,8,0.9632665756656036,0.8898274176463313,1.0
Llama-3.1-8B-Instruct,feedback,10,Q2,7,0.8578312803652225,0.6006884232471482,0.999990747880118
Llama-3.1-8B-Instruct,feedback,10,Q3,11,0.909063376475309,0.7272448558565352,0.9999999999992962
Llama-3.1-8B-Instruct,feedback,10,Q4,4,0.9992341681843349,0.9977392309557069,1.0
Llama-3.1-8B-Instruct,feedback,100,Q1,8,1.0,1.0,1.0
Llama-3.1-8B-Instruct,feedback,100,Q2,7,1.0,1.0,1.0
Llama-3.1-8B-Instruct,feedback,100,Q3,11,0.9090909090909091,0.7272727272727273,1.0
Llama-3.1-8B-Instruct,feedback,100,Q4,4,1.0,1.0,1.0
deepseek-coder-7b-instruct-v1.5,CoT,1,Q1,8,0.71125,0.43374999999999997,0.94875
deepseek-coder-7b-instruct-v1.5,CoT,1,Q2,7,0.5914285714285715,0.2714285714285714,0.8757142857142857
deepseek-coder-7b-instruct-v1.5,CoT,1,Q3,11,0.7436363636363637,0.5372272727272727,0.9100681818181808
deepseek-coder-7b-instruct-v1.5,CoT,1,Q4,4,0.6875,0.41250000000000003,0.9199999999999999
deepseek-coder-7b-instruct-v1.5,CoT,10,Q1,8,0.8916113891963756,0.7099787361351583,0.9999919043951033
deepseek-coder-7b-instruct-v1.5,CoT,10,Q2,7,0.7282772075075944,0.4282772075075944,0.9997061449621799
deepseek-coder-7b-instruct-v1.5,CoT,10,Q3,11,0.9004438612944693,0.7099788595580385,0.9999999291403772
deepseek-coder-7b-instruct-v1.5,CoT,10,Q4,4,0.9942703533985869,0.9828120224482001,0.9999999055834325
deepseek-coder-7b-instruct-v1.5,CoT,100,Q1,8,1.0,1.0,1.0
deepseek-coder-7b-instruct-v1.5,CoT,100,Q2,7,0.8571428571428571,0.5714285714285714,1.0
deepseek-coder-7b-instruct-v1.5,CoT,100,Q3,11,0.9090909090909091,0.7272727272727273,1.0
deepseek-coder-7b-instruct-v1.5,CoT,100,Q4,4,1.0,1.0,1.0
deepseek-coder-7b-instruct-v1.5,baseline,1,Q1,8,0.68875,0.395,0.94125
deepseek-coder-7b-instruct-v1.5,baseline,1,Q2,7,0.6157142857142858,0.2885714285714286,0.9142857142857143
deepseek-coder-7b-instruct-v1.5,baseline,1,Q3,11,0.7227272727272728,0.509090909090909,0.8963636363636364
deepseek-coder-7b-instruct-v1.5,baseline,1,Q4,4,0.6925,0.31999999999999995,0.9475
deepseek-coder-7b-instruct-v1.5,baseline,10,Q1,8,0.8361772361089359,0.6366973023828753,0.9999626085053244
deepseek-coder-7b-instruct-v1.5,baseline,10,Q2,7,0.7284866528077482,0.428571427046689,0.9999152257610592
deepseek-coder-7b-instruct-v1.5,baseline,10,Q3,11,0.9004225286562558,0.718582977125367,0.9999999133084245
deepseek-coder-7b-instruct-v1.5,baseline,10,Q4,4,0.9548078118898699,0.864423451513405,0.9999999994382538
deepseek-coder-7b-instruct-v1.5,baseline,100,Q1,8,1.0,1.0,1.0
deepseek-coder-7b-instruct-v1.5,baseline,100,Q2,7,0.8571428571428571,0.5714285714285714,1.0
deepseek-coder-7b-instruct-v1.5,baseline,100,Q3,11,0.9090909090909091,0.7272727272727273,1.0
deepseek-coder-7b-instruct-v1.5,baseline,100,Q4,4,1.0,1.0,1.0
deepseek-coder-7b-instruct-v1.5,feedback,1,Q1,8,0.79125,0.54,0.975
deepseek-coder-7b-instruct-v1.5,feedback,1,Q2,7,0.687142857142857,0.4057142857142856,0.9442857142857142
deepseek-coder-7b-instruct-v1.5,feedback,1,Q3,11,0.8127272727272729,0.6072727272727273,0.9636363636363636
deepseek-coder-7b-instruct-v1.5,feedback,1,Q4,4,0.9275,0.8200000000000001,1.0
deepseek-coder-7b-instruct-v1.5,feedback,10,Q1,8,0.941484640078392,0.8247995364990884,0.9999999986658529
deepseek-coder-7b-instruct-v1.5,feedback,10,Q2,7,0.9139434202870725,0.7948699776751764,0.999999891696283
deepseek-coder-7b-instruct-v1.5,feedback,10,Q3,11,0.9088168746218531,0.7269918366166451,0.9999999999894861
deepseek-coder-7b-instruct-v1.5,feedback,10,Q4,4,0.9999999716750299,0.9999999150250893,1.0
deepseek-coder-7b-instruct-v1.5,feedback,100,Q1,8,1.0,1.0,1.0
deepseek-coder-7b-instruct-v1.5,feedback,100,Q2,7,1.0,1.0,1.0
deepseek-coder-7b-instruct-v1.5,feedback,100,Q3,11,0.9090909090909091,0.7272727272727273,1.0
deepseek-coder-7b-instruct-v1.5,feedback,100,Q4,4,1.0,1.0,1.0
