problem_id,tSNE1,tSNE2
ABC392,-17.245127,1.8652155
ABC393,-13.548376,3.438794
ABC394,-35.460613,-9.19966
ABC395,-6.234061,-17.366135
ABC396,-1.3557888,-15.382502
ABC397,-11.543437,-16.84212
ABC398,-26.632639,-10.478222
ABC399,-31.811462,-6.4610915
ABC400,-18.445547,8.103697
ABC401,-21.530054,-12.627673
ABC402,-39.778564,-12.048997
ABC403,-27.239592,-3.5079203
ABC404,-15.329023,-15.525488
ABC405,3.990416,-8.5545225
ABC406,3.3381908,-13.869918
ABC407,-1.6775699,-19.95442
ABC408,8.389272,-24.061806
ABC409,4.2831845,-21.450523
ABC410,-23.452616,4.9717984
ABC411,-35.19678,-14.121201
ABC412,-26.459015,1.2976725
ABC413,-15.378096,11.383679
ABC414,-13.587328,21.722097
ABC415,-10.96253,17.858007
ABC416,11.291446,9.160557
ABC417,12.752581,15.0382805
ABC418,14.626393,11.9576845
ABC419,5.957993,1.4237583
ABC420,4.242848,-4.329955
ABC421,-11.272529,13.878694
